"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","2013-11-30","6.0","23.3","14.4"
"ASN00009021","PERTH AIRPORT, AS","2013-12-01","0.4","24.8","15.4"
"ASN00009021","PERTH AIRPORT, AS","2013-12-02","0.0","24.2","11.1"
"ASN00009021","PERTH AIRPORT, AS","2013-12-03","0.0","25.1","10.1"
"ASN00009021","PERTH AIRPORT, AS","2013-12-04","0.0","28.1","13.0"
"ASN00009021","PERTH AIRPORT, AS","2013-12-05","0.0","32.2","13.4"
"ASN00009021","PERTH AIRPORT, AS","2013-12-06","0.4","33.8","18.2"
"ASN00009021","PERTH AIRPORT, AS","2013-12-07","0.0","28.0","17.1"
"ASN00009021","PERTH AIRPORT, AS","2013-12-08","0.0","25.6","16.5"
"ASN00009021","PERTH AIRPORT, AS","2013-12-09","0.0","29.2","14.3"
"ASN00009021","PERTH AIRPORT, AS","2013-12-10","0.0","32.5","15.5"
"ASN00009021","PERTH AIRPORT, AS","2013-12-11","0.0","33.6","17.1"
"ASN00009021","PERTH AIRPORT, AS","2013-12-12","0.0","36.2","16.9"
"ASN00009021","PERTH AIRPORT, AS","2013-12-13","0.0","39.1","19.4"
"ASN00009021","PERTH AIRPORT, AS","2013-12-14","0.0","40.3","17.0"
"ASN00009021","PERTH AIRPORT, AS","2013-12-15","0.0","38.3","15.7"
"ASN00009021","PERTH AIRPORT, AS","2013-12-16","0.0","37.7","21.0"
"ASN00009021","PERTH AIRPORT, AS","2013-12-17","0.0","29.6","15.6"
"ASN00009021","PERTH AIRPORT, AS","2013-12-18","0.0","29.4","19.0"
"ASN00009021","PERTH AIRPORT, AS","2013-12-19","0.0","31.6","17.7"
"ASN00009021","PERTH AIRPORT, AS","2013-12-20","0.0","28.2","15.9"
"ASN00009021","PERTH AIRPORT, AS","2013-12-21","0.0","28.2","13.4"
"ASN00009021","PERTH AIRPORT, AS","2013-12-22","0.0","29.5","14.1"
"ASN00009021","PERTH AIRPORT, AS","2013-12-23","0.0","33.7","9.9"
"ASN00009021","PERTH AIRPORT, AS","2013-12-24","0.0","29.4","11.7"
"ASN00009021","PERTH AIRPORT, AS","2013-12-25","0.0","32.0","16.0"
"ASN00009021","PERTH AIRPORT, AS","2013-12-26","0.0","28.4","10.8"
"ASN00009021","PERTH AIRPORT, AS","2013-12-27","0.0","29.2","18.7"
"ASN00009021","PERTH AIRPORT, AS","2013-12-28","0.0","33.2","16.2"
"ASN00009021","PERTH AIRPORT, AS","2013-12-29","0.0","35.4","15.0"
"ASN00009021","PERTH AIRPORT, AS","2013-12-30","0.0","32.3","18.0"
"ASN00009021","PERTH AIRPORT, AS","2013-12-31","0.0","26.5","17.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-01","0.0","26.8","12.8"
"ASN00009021","PERTH AIRPORT, AS","2014-01-02","0.0","25.8","9.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-03","0.0","28.1","13.8"
"ASN00009021","PERTH AIRPORT, AS","2014-01-04","0.0","28.6","13.0"
"ASN00009021","PERTH AIRPORT, AS","2014-01-05","0.0","32.5","15.9"
"ASN00009021","PERTH AIRPORT, AS","2014-01-06","0.0","39.0","16.4"
"ASN00009021","PERTH AIRPORT, AS","2014-01-07","0.0","27.0","16.9"
"ASN00009021","PERTH AIRPORT, AS","2014-01-08","0.0","29.7","15.7"
"ASN00009021","PERTH AIRPORT, AS","2014-01-09","0.0","30.1","15.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-10","0.0","35.7","16.4"
"ASN00009021","PERTH AIRPORT, AS","2014-01-11","0.0","43.5","20.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-12","0.0","43.0","28.5"
"ASN00009021","PERTH AIRPORT, AS","2014-01-13","0.0","28.6","20.7"
"ASN00009021","PERTH AIRPORT, AS","2014-01-14","0.0","27.8","14.5"
"ASN00009021","PERTH AIRPORT, AS","2014-01-15","0.0","26.2","14.5"
"ASN00009021","PERTH AIRPORT, AS","2014-01-16","0.4","25.9","18.1"
"ASN00009021","PERTH AIRPORT, AS","2014-01-17","0.0","32.6","15.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-18","0.0","38.2","14.1"
"ASN00009021","PERTH AIRPORT, AS","2014-01-19","0.0","40.0","19.0"
"ASN00009021","PERTH AIRPORT, AS","2014-01-20","0.0","38.7","20.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-21","0.0","37.9","19.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-22","0.0","37.1","23.4"
"ASN00009021","PERTH AIRPORT, AS","2014-01-23","0.0","37.2","22.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-24","0.0","32.7","23.2"
"ASN00009021","PERTH AIRPORT, AS","2014-01-25","0.0","37.2","24.5"
"ASN00009021","PERTH AIRPORT, AS","2014-01-26","0.0","32.3","22.5"
"ASN00009021","PERTH AIRPORT, AS","2014-01-27","0.0","26.9","15.5"
"ASN00009021","PERTH AIRPORT, AS","2014-01-28","0.0","31.6","15.5"
"ASN00009021","PERTH AIRPORT, AS","2014-01-29","0.0","34.2","16.6"
"ASN00009021","PERTH AIRPORT, AS","2014-01-30","0.0","35.5","17.4"
"ASN00009021","PERTH AIRPORT, AS","2014-01-31","0.0","30.3","20.0"
"ASN00009021","PERTH AIRPORT, AS","2014-02-01","0.0","29.9","17.2"
"ASN00009021","PERTH AIRPORT, AS","2014-02-02","0.0","32.3","16.7"
"ASN00009021","PERTH AIRPORT, AS","2014-02-03","0.0","33.9","17.2"
"ASN00009021","PERTH AIRPORT, AS","2014-02-04","0.0","37.9","21.5"
"ASN00009021","PERTH AIRPORT, AS","2014-02-05","0.0","33.3","20.0"
"ASN00009021","PERTH AIRPORT, AS","2014-02-06","0.0","33.3","20.0"
"ASN00009021","PERTH AIRPORT, AS","2014-02-07","0.0","31.5","19.5"
